author_id,gender,birth_year,birth_month,birth_day,death_year,death_month,death_day,,,,,,
1856113,male,1984,4,24,,,,,,,,,
3004686,male,1964,,,,,,,,,,,
10029,male,1969,11,6,,,,,,,,,
4119155,female,1970,11,27,,,,,,,,,
824359,male,1951,3,31,,,,,,,,,
1191388,female,1963,,,,,,,,,,,
485392,female,1955,,,,,,,,,,,
915500,male,,,,,,,,,,,,
117182,female,1959,4,18,,,,,,,,,
35807,male,1970,1,1,,,,,,,,,
5168929,female,1917,10,5,2007,11,19,,,,,,
157697,female,1936,11,12,2004,11,12,,,,,,
46051,female,1967,2,8,,,,,,,,,
44076,male,,,,,,,,,,,,
44085,female,1943,1,1,,,,,,,,,
1214964,male,1975,1,1,,,,,,,,,
97917,male,,,,,,,,,,,,
314021,female,1970,,,,,,,,,,,
522266,female,1972,,,,,,,,,,,
769979,female,1970,2,10,,,,,,,,,
28186,male,1973,,,,,,,,,,,
33794,female,1968,,,,,,,,,,,
117786,female,1963,,,,,,,,,,,
92333,male,1971,7,22,,,,,,,,,
7114556,male,1983,,,,,,,,,,,
56952,female,1954,11,26,,,,,,,,,
60913,female,1977,,,,,,,,,,,
11341,female,1948,2,29,,,,,,,,,
45840,female,1961,,,,,,,,,,,
4258,male,1947,8,2,,,,,,,,,
11291,female,1977,9,15,,,,,,,,,
164139,female,1968,,,,,,,,,,,
8719,female,1963,12,23,,,,,,,,,
10015,female,1951,1,1,,,,,,,,,
8885,male,1958,12,2,,,,,,,,,
95232,male,1945,10,14,,,,,,,,,
101983,male,1967,7,2,,,,,,,,,
5783658,female,,,,,,,,,,,,
7792163,male,1960,3,14,,,,,,,,,
6450261,female,1964,,,,,,,,,,,
58851,female,1952,7,6,,,,,,,,,
5112,male,1967,12,28,,,,,,,,,
3371,male,1970,3,12,,,,,,,,,
2522,female,1975,10,27,,,,,,,,,
3140334,male,1980,7,11,,,,,,,,,
4992939,female,1964,8,12,,,,,,,,,
8650,male,1963,10,30,,,,,,,,,
722,male,1935,10,30,,,,,,,,,
3716,male,1945,7,18,,,,,,,,,
1418923,male,1964,10,30,,,,,,,,,
3452783,male,1975,,,,,,,,,,,
3389,male,1947,9,21,,,,,,,,,
26417,female,1981,7,10,,,,,,,,,
4455701,female,,,,,,,,,,,,
4937879,female,1985,9,30,,,,,,,,,
3956,male,1949,4,13,2011,12,15,,,,,,
127037,male,1963,,,,,,,,,,,
107079,male,1950,5,13,2011,4,1,,,,,,
72401,male,1934,3,5,,,,,,,,,
183491,female,1968,1,1,,,,,,,,,
2578,male,1959,8,17,,,,,,,,,
6746,female,1947,9,8,,,,,,,,,
23613,female,1969,10,24,,,,,,,,,
16002,male,1928,5,24,2016,11,21,,,,,,
49625,female,1962,9,7,,,,,,,,,
4028069,female,,,,,,,,,,,,
5741,female,1961,10,26,,,,,,,,,
3032451,male,1970,7,21,,,,,,,,,
85858,male,1930,3,22,,,,,,,,,
3567958,female,1961,,,,,,,,,,,
10739,female,1972,1,1,,,,,,,,,
6404,male,1964,2,19,,,,,,,,,
11746,female,1957,1,13,,,,,,,,,
3275,female,1960,4,21,,,,,,,,,
57415,female,1961,8,13,,,,,,,,,
31054,male,1945,11,5,,,,,,,,,
64736,male,1955,10,28,,,,,,,,,
8865,female,1955,1,16,,,,,,,,,
1889150,male,1952,11,14,,,,,,,,,
320918,female,1948,,,,,,,,,,,
12589,male,1943,8,3,,,,,,,,,
3534,female,1931,2,18,,,,,,,,,
389474,male,1964,2,23,,,,,,,,,
72039,male,1953,4,28,2003,7,15,,,,,,
3670,female,1967,7,11,,,,,,,,,
1088758,male,1961,5,24,,,,,,,,,
1462,male,1946,1,19,,,,,,,,,
288,female,1947,9,18,,,,,,,,,
115110,male,1966,,,,,,,,,,,
45142,male,1967,,,,,,,,,,,
225944,male,1952,7,18,,,,,,,,,
56223,male,1974,,,,,,,,,,,
6468,male,1949,7,1,2017,5,24,,,,,,
12623,male,1973,1,22,,,,,,,,,
406306,female,1922,3,17,,,,,,,,,
163130,male,1960,5,21,,,,,,,,,
93779,female,1949,9,13,,,,,,,,,
2870641,male,1970,1,22,,,,,,,,,
12437,male,1972,7,5,,,,,,,,,
18710,female,1951,12,14,,,,,,,,,
2508,female,1966,10,8,,,,,,,,,
7849,male,1944,2,16,,,,,,,,,
2362,female,1977,10,26,,,,,,,,,
43393,female,1973,11,9,,,,,,,,,
1641,male,1956,6,11,,,,,,,,,
2121,male,1955,2,6,,,,,,,,,
16203,male,1973,1,3,,,,,,,,,
3354,male,1949,1,12,,,,,,,,,
6429,male,1975,,,,,,,,,,,
2408,male,1948,6,21,,,,,,,,,
11214,female,1954,11,11,,,,,,,,,
49986,male,1960,8,13,,,,,,,,,
1746,male,1947,,,,,,,,,,,
1745,female,1951,,,,,,,,,,,
7519,male,1948,,,,,,,,,,,
16708,male,1948,1,1,2010,8,6,,,,,,
238,female,1934,12,5,,,,,,,,,
7491,female,1943,11,26,,,,,,,,,
1351903,male,1955,5,30,,,,,,,,,
463,male,1933,3,19,,,,,,,,,
6410,female,1931,7,10,,,,,,,,,
1728,male,1952,6,7,,,,,,,,,
8055,male,1956,2,21,,,,,,,,,
9950,male,1949,1,1,,,,,,,,,
8898,male,1941,5,24,,,,,,,,,
5062,male,1935,12,2,,,,,,,,,
3487,male,1894,7,26,1963,11,22,,,,,,
59027,female,1968,3,3,,,,,,,,,
11271,female,1967,10,20,,,,,,,,,
1064072,male,1948,12,2,,,,,,,,,
104203,male,1940,11,13,,,,,,,,,
33,male,1950,10,5,,,,,,,,,
13450,male,1927,3,6,2014,4,17,,,,,,
13929,female,1963,12,9,,,,,,,,,
18514,female,1933,6,20,,,,,,,,,
7499942,female,1965,,,,,,,,,,,
104668,female,1943,1,13,2001,1,11,,,,,,
1467,male,1960,3,8,,,,,,,,,
6366,female,1943,12,13,,,,,,,,,
26090,male,1928,1,16,,,,,,,,,
4220886,male,1944,8,29,,,,,,,,,
6580622,male,1944,5,18,2001,12,14,,,,,,
43740,female,1923,4,22,2017,3,1,,,,,,
6281688,male,1933,7,7,,,,,,,,,
15874,male,1952,1,21,,,,,,,,,
22595,male,1943,5,7,,,,,,,,,
843200,male,1933,7,9,2015,8,30,,,,,,
13843,male,1946,3,1,,,,,,,,,
29574,male,1939,4,13,2013,8,30,,,,,,
3151,male,1958,2,7,,,,,,,,,
6878,male,1932,3,18,2009,1,27,,,,,,
32472,male,1945,3,1,,,,,,,,,
35444,male,1958,6,2,,,,,,,,,
125706,female,1940,10,21,,,,,,,,,
21426,male,1939,1,11,,,,,,,,,
1262010,female,1935,8,22,,,,,,,,,
4128,male,1940,2,9,,,,,,,,,
60033,male,1944,2,25,,,,,,,,,
4619485,male,1934,5,15,2012,8,2,,,,,,
57501,male,1933,9,8,,,,,,,,,
162702,female,1945,,,,,,,,,,,
27425,female,1934,8,17,2016,9,8,,,,,,
14851,female,1946,10,28,,,,,,,,,
10108,male,1958,5,8,,,,,,,,,
15128,male,1940,3,28,,,,,,,,,
213020,male,1946,2,15,,,,,,,,,
3541,female,1955,4,8,,,,,,,,,
68607,male,1947,1,8,,,,,,,,,
255644,male,1941,4,24,2010,12,13,,,,,,
118313,female,1940,1,1,,,,,,,,,
7372,male,1961,1,1,,,,,,,,,
117157,female,1938,4,27,2013,8,12,,,,,,
3222,female,1916,12,17,2000,4,28,,,,,,
8479801,male,1947,,,,,,,,,,,
1235,male,1954,4,12,,,,,,,,,
235,male,1937,5,8,,,,,,,,,
43530,female,1928,4,17,,,,,,,,,
233,male,1936,11,20,,,,,,,,,
3347,male,1930,8,19,2009,7,19,,,,,,
140886,male,1942,6,14,,,,,,,,,
99482,female,1922,8,11,2014,2,18,,,,,,
212208,male,1949,8,12,1998,3,3,,,,,,
3299,male,1947,6,19,,,,,,,,,
32307,male,1948,2,24,,,,,,,,,
4194881,male,1943,11,7,,,,,,,,,
68992,female,1962,8,24,,,,,,,,,
16902,male,1971,1,1,,,,,,,,,
378209,female,1968,7,11,,,,,,,,,
118226,female,,,,,,,,,,,,
1676417,,,,,,,,,,,,,
16819826,,,,,,,,,,,,,
15189032,,,,,,,,,,,,,
147216,female,,,,,,,,,,,,
5220577,female,,,,,,,,,,,,